Country, Rank, City, Population, Cost of Living
United States,1., $692,New York City,United States,   Population  8.8M,     Cost of living  $3879
China,2,$440,London ,United Kingdom   Population  8.91M     Cost of living  $3029
India,3,$2317,Beijing,China   Population  21.9M     Cost of living  $1150
United States,4,$573,TokyoJapan   Population  14M     Cost of living  $1601
Indonesia,5,$332,Shanghai,China   Population  24.9M,     Cost of living  $1183
Pakistan,6,$609,Singapore CitySingapore   Population  5.87M     Cost of living  $3416
Nigeria,7,$736,SeoulSouth Korea   Population  9.67M     Cost of living  $1513
Brazil,8,$455,ShenzhenChina   Population  17.5M     Cost of living  $1043
Bangladesh,9,$615,ChongqingChina   Population  32.1M     Cost of living  $684
Russia,10,$1155,Los AngelesUnited States   Population  3.9M     Cost of living  $3145
Japan,11,$911,Hong Kong,China   Population  7.41M     Cost of living  $2720
Mexico,12,$623,GuangzhouChina   Population  18.7M     Cost of living  $760
Philippines,13,$759,SydneyAustralia   Population  4.84M     Cost of living  $2564
Ethiopia,14,$628,BangaloreIndia   Population  12.3M     Cost of living  $576
Vietnam,15,$350,DelhiIndia   Population  26.5M     Cost of living  $478
Egypt,16,$1016,ChicagoUnited States   Population  2.75M     Cost of living  $2425
DR Congo,17,$704,ChengduChina   Population  20.9M     Cost of living  $677
Iran,18,$515,RiyadhSaudi Arabia   Population  7.01M     Cost of living  $1360
Turkey,19,$1533,MelbourneAustralia   Population  4.53M     Cost of living  $2266
Germany,20,$1554,DubaiUnited Arab Emirates   Population  3.33M     Cost of living  $1975
France,21,$2017,KinshasaDR Congo   Population  11.9M     Cost of living  $1085
United Kingdom,22,$835,TianjinChina   Population  13.9M     Cost of living  $724
Thailand,23,$1405,MoscowRussia   Population  12.5M     Cost of living  $942
Italy,24,$843,BerlinGermany   Population  3.68M     Cost of living  $2180
South Africa,25,$700,HoustonUnited States   Population  2.3M     Cost of living  $2209
Tanzania,26,$834,HangzhouChina   Population  11.9M     Cost of living  $849
Myanmar,27,$1138,Xi'anChina   Population  13M     Cost of living  $563
South Korea,28,$646,MumbaiIndia   Population  15.4M     Cost of living  $695
Colombia,29,$595,YokohamaJapan   Population  3.76M     Cost of living  $1463
Kenya,30,$1318,TorontoCanada   Population  2.79M     Cost of living  $2460
Spain,31,$603,MadridSpain   Population  3.28M     Cost of living  $1642
Argentina,32,$635,JeddahSaudi Arabia   Population  4.7M     Cost of living  $1084
Uganda,33,$439,BusanSouth Korea   Population  3.45M     Cost of living  $1095
Algeria,34,$548,PhoenixUnited States   Population  1.61M     Cost of living  $2445
Ukraine,35,$783,BrisbaneAustralia   Population  2.36M     Cost of living  $2299
Sudan,36,$1089,PhiladelphiaUnited States   Population  1.6M     Cost of living  $2479
Poland,37,$732,Mexico CityMexico   Population  9.21M     Cost of living  $1208
Iraq,38,$441,IstanbulTurkey   Population  15.5M     Cost of living  $778
Afghanistan,39,$625,San DiegoUnited States   Population  1.39M     Cost of living  $3215
Morocco,40,$1901,PerthAustralia   Population  2.14M     Cost of living  $2251
Canada,41,$599,San JoseUnited States   Population  1.01M     Cost of living  $3115
Uzbekistan,42,$1136,JohannesburgSouth Africa   Population  4.43M     Cost of living  $967
Saudi Arabia,43,$872,DallasUnited States   Population  1.3M     Cost of living  $2426
Angola,44,$540,HyderabadIndia   Population  9.31M     Cost of living  $458
Ghana,45,$598,ParisFrance   Population  2.15M     Cost of living  $2194
Malaysia,46,$1035,Hamburg CityGermany   Population  1.85M     Cost of living  $1970
Mozambique,47,$789,San AntonioUnited States   Population  1.43M     Cost of living  $2051
Peru,48,$374,New TaipeiTaiwan   Population  4.36M     Cost of living  $1032
Nepal,49,$784,ViennaAustria   Population  1.97M     Cost of living  $1749
Venezuela,50,$529,ChennaiIndia   Population  10.3M     Cost of living  $424
Yemen,51,$2212,IncheonSouth Korea   Population  2.94M     Cost of living  $1054
Australia,52,$537,Sao PauloBrazil   Population  12.4M     Cost of living  $1062
Madagascar,53,$1595,OsakaJapan   Population  2.75M     Cost of living  $1212
North Korea,54,$958,PuneIndia   Population  5.95M     Cost of living  $480
Ivory Coast,55,$825,Kuwait CityKuwait   Population  2.99M     Cost of living  $1380
Cameroon,56,$969,MunichGermany   Population  1.49M     Cost of living  $2149
Taiwan,57,$1016,RomeItaly   Population  2.87M     Cost of living  $1716
Niger,58,$443,Abu DhabiUnited Arab Emirates   Population  1.48M     Cost of living  $1897
Sri Lanka,59,$770,NagoyaJapan   Population  2.33M     Cost of living  $1332
Burkina Faso,60,$532,MontrealCanada   Population  1.76M     Cost of living  $1760
Mali,61,$1040,KawasakiJapan   Population  1.54M     Cost of living  $1094
Chile,62,$784,Ho Chi MinhVietnam   Population  10.4M     Cost of living  $725
Romania,63,$702,AucklandNew Zealand   Population  1.47M     Cost of living  $2127
Kazakhstan,64,$578,TaipeiTaiwan   Population  2.6M     Cost of living  $1127
Malawi,65,$506,DaeguSouth Korea   Population  2.44M     Cost of living  $1161
